Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Ge Yang, Zihao Chen","Visual Surveillance Algorithm for Dense Crowd",2019,"Proceedings of the 2019 International Conference on Artificial","Association for Computing Machinery","http://dx.doi.org/10.1145/3349341.3349485","",1,"2024-04-16 10:21:56","CPAPER","10.1145/3349341.3349485","","",,,655,,0,0.00,0,2,5,"In this paper, the traditional pedestrian detection and tracking method","",""
0,"Tongtong Zhou, Lu Zheng, Yueping Peng, Rongqi Jiang","Research on Crowd Counting and Density Estimation Algorithms Based on Deep",2022,"Proceedings of the 2021 5th International Conference on Electronic","Association for Computing Machinery","http://dx.doi.org/10.1145/3501409.3501578","",2,"2024-04-16 10:21:56","CPAPER","10.1145/3501409.3501578","","",,,939,,0,0.00,0,4,2,"Thanks to the rapid development of computer vision technology, methods","",""
0,"Andrea Camille Garcia, Jealine Eleanor Gorre, Joshua Angelo Karl Perez, Mary Jane Samonte","Deep Learning in Smart Video Surveillance for Crowd Management: A",2021,"Proceedings of the 7th International Conference on Frontiers of","Association for Computing Machinery","http://dx.doi.org/10.1145/3473141.3473240","",3,"2024-04-16 10:21:56","CPAPER","10.1145/3473141.3473240","","",,,144,,0,0.00,0,4,3,"A crowd is defined as a gathering of people in the same premises. When the","",""
0,"A R Khadka, M M Oghaz, W Matta, M Cosentino, P Remagnino, V Argyriou","Learning how to analyse crowd behaviour using synthetic data",2019,"Proceedings of the 32nd International Conference on Computer Animation and","Association for Computing Machinery","http://dx.doi.org/10.1145/3328756.3328773","",4,"2024-04-16 10:21:56","CPAPER","10.1145/3328756.3328773","","",,,11,,0,0.00,0,6,5,"Deep learning has greatly improved pattern recognition algorithms, however","",""
0,"Xinyu Chen, Mingzhe Liu, Jun Ren, Chuan Zhao","An Overview of Crowd Counting on Traditional and CNN-based Approaches",2021,"Proceedings of the 6th International Conference on Robotics and Artificial","Association for Computing Machinery","http://dx.doi.org/10.1145/3449301.3449779","",5,"2024-04-16 10:21:56","CPAPER","10.1145/3449301.3449779","","",,,126,,0,0.00,0,4,3,"Crowd counting, which is one of the primary research lines of computer","",""
0,"Hadi Habibzadeh, Cem Kaptan, Tolga Soyata, Burak Kantarci, Azzedine Boukerche","Smart City System Design: A Comprehensive Study of the Application and",2019,"ACM Comput. Surv.","Association for Computing Machinery","http://dx.doi.org/10.1145/3309545","",6,"2024-04-16 10:21:56","JOUR","10.1145/3309545","0360-0300","",52,2,,,0,0.00,0,5,5,"Recent global smart city efforts resemble the establishment of electricity","",""
0,"Prashant Maheshwari, Doney Alex, Sumandeep Banerjee, Saurav Behera, Subrat Panda","Top View Person Detection and Counting for Low Compute Embedded Platforms",2018,"Proceedings of the 2018 2nd International Conference on Video and Image","Association for Computing Machinery","http://dx.doi.org/10.1145/3301506.3301548","",7,"2024-04-16 10:21:56","CPAPER","10.1145/3301506.3301548","","",,,35,,0,0.00,0,5,6,"In this paper, we present an optimised approach for the top-view person","",""
0,"Wen Guo, Wuzhou Quan, Junyu Gao, Tianzhu Zhang, Changsheng Xu","Feature Disentanglement Network: Multi-Object Tracking Needs More",2023,"ACM Trans. Multimedia Comput. Commun. Appl.","Association for Computing Machinery","http://dx.doi.org/10.1145/3626825","",8,"2024-04-16 10:21:56","JOUR","10.1145/3626825","1551-6857","",20,3,,,0,0.00,0,5,1,"To reduce computational redundancies, a common approach is to integrate","",""
0,"Xiao Li, Yu Yang, Yiming Xu, Chao Wang, Linyang Li","Crowd Abnormal Behavior Detection Combining Movement and Emotion",2020,"Proceedings of the 2nd International Conference on Industrial Control","Association for Computing Machinery","http://dx.doi.org/10.1145/3411016.3411166","",9,"2024-04-16 10:21:56","CPAPER","10.1145/3411016.3411166","","",,,106,,0,0.00,0,5,4,"At present, the detection of crowd abnormal behavior has the problem of","",""
0,"Antonius Bima Murti Wijaya","Crowd Behaviour Prediction using Visual and Location Data in Super-Crowded",2023,"Proceedings of the 25th International Conference on Multimodal Interaction","Association for Computing Machinery","http://dx.doi.org/10.1145/3577190.3614230","",10,"2024-04-16 10:21:56","CPAPER","10.1145/3577190.3614230","","",,,711,,0,0.00,0,1,1,"Predicting the future trajectory of a crowd is important for safety to","",""
