Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"F Abdullah, M Abdelhaq, R Alsaqour…","Context aware crowd tracking and anomaly detection via deep learning and social force model",2023,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10177157/","https://scholar.google.com/scholar?cites=16096066372747377708&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-04-16 13:58:37","","","","",,,,,3,3.00,1,4,1,"… However, in a dense crowd and severe … A real-time crowd-tracking and abnormality discovery framework via semantic segmentation and deep learning is presented in this article. It …","https://ieeexplore.ieee.org/iel7/6287639/6514899/10177157.pdf","https://scholar.google.com/scholar?q=related:LLy33BW3YN8J:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
8,"A Patwal, M Diwakar, V Tripathi, P Singh","Crowd counting analysis using deep learning: A critical review",2023,"Procedia Computer Science","Elsevier","https://www.sciencedirect.com/science/article/pii/S187705092300220X","https://scholar.google.com/scholar?cites=9290033517023242063&as_sdt=2005&sciodt=0,5&hl=en",2,"2024-04-16 13:58:37","","","","",,,,,8,8.00,2,4,1,"… The B2 layer is used for dense crowd having only the convolutional layers. The specifics of this method are presented in the B3 section. It starts with a global average pooling (GAP) …","https://www.sciencedirect.com/science/article/pii/S187705092300220X/pdf?md5=53df4f89070b006a4c8b351141bad6c5&pid=1-s2.0-S187705092300220X-main.pdf","https://scholar.google.com/scholar?q=related:T6ekVUPU7IAJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
2,"L Deng, Q Zhou, S Wang, JM Górriz…","Deep learning in crowd counting: A survey",2023,"CAAI Transactions on …","Wiley Online Library","https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/cit2.12241","https://scholar.google.com/scholar?cites=7070070350763135179&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-04-16 13:58:37","","10.1049/cit2.12241","","",,,,,2,2.00,0,5,1,"… The hyperscale dataset has some extremely dense crowd images, or the crowd density span is very large, which is suitable to be used as a challenging dataset to evaluate the network …","https://ietresearch.onlinelibrary.wiley.com/doi/pdfdirect/10.1049/cit2.12241","https://scholar.google.com/scholar?q=related:yxBCcobvHWIJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"MJ Babar, M Husnain, MMS Missen, A Samad…","Crowd Counting and Density Estimation using Deep Network-A Comprehensive Survey",2023,"Authorea …","techrxiv.org","https://www.techrxiv.org/doi/full/10.36227/techrxiv.23256587.v1","",4,"2024-04-16 13:58:37","","10.36227/techrxiv.23256587.v1","","",,,,,0,0.00,0,5,1,"… specific challenges using deep learning approaches like the … tracking area is obtained to provide more accurate tracking … of the people in a given dense crowd image. These three …","https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.23256587.v1","https://scholar.google.com/scholar?q=related:hlBJ2fR352AJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
5,"A Alhothali, A Balabid, R Alharthi, B Alzahrani…","Anomalous event detection and localization in dense crowd scenes",2023,"Multimedia Tools and …","Springer","https://link.springer.com/article/10.1007/s11042-022-13967-w","https://scholar.google.com/scholar?cites=2669821522974954131&as_sdt=2005&sciodt=0,5&hl=en",5,"2024-04-16 13:58:37","","10.1007/s11042-022-13967-w","","",,,,,5,5.00,1,5,1,"… 55] aim to track interesting points in the scene either by using deep learning objects detection … To summarize, the main contribution of this work is to propose a deep learning method that …","","https://scholar.google.com/scholar?q=related:k1KdooccDSUJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
2,"S Wang, Y Lyu, Y Xu, W Wu","MSCDP: Multi-step crowd density predictor in indoor environment",2023,"Neurocomputing","Elsevier","https://www.sciencedirect.com/science/article/pii/S0925231223004198","https://scholar.google.com/scholar?cites=3061851443881687849&as_sdt=2005&sciodt=0,5&hl=en",6,"2024-04-16 13:58:37","","","","",,,,,2,2.00,1,4,1,"… the dense crowd due to the difficulty in tracking individuals in … Furthermore, instead of specifically modeling on the dense crowd, we … Deep learning-based video prediction methods …","https://www.researchsquare.com/article/rs-2119562/latest.pdf","https://scholar.google.com/scholar?q=related:KbuVc6rhfSoJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
12,"MA Khan, H Menouar, R Hamila","LCDnet: a lightweight crowd density estimation model for real-time video surveillance",2023,"Journal of Real-Time Image Processing","Springer","https://link.springer.com/article/10.1007/s11554-023-01286-8","https://scholar.google.com/scholar?cites=7354021900476211879&as_sdt=2005&sciodt=0,5&hl=en",7,"2024-04-16 13:58:37","HTML","10.1007/s11554-023-01286-8","","",,,,,12,12.00,4,3,1,"… that involves computer vision and deep learning to estimate the … shows the efficacy of deep learning methods for crowd … has shown high accuracy in dense crowd scenes. Both models …","https://link.springer.com/article/10.1007/s11554-023-01286-8","https://scholar.google.com/scholar?q=related:p-JTiPS7DmYJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
2,"S Zahir, RU Khan, M Ullah…","Robust Counting in Overcrowded Scenes Using Batch-Free Normalized Deep ConvNet.",2023,"Computer …","research-management.mq.edu.au","https://research-management.mq.edu.au/ws/portalfiles/portal/250006007/236562254.pdf","https://scholar.google.com/scholar?cites=397047779807388847&as_sdt=2005&sciodt=0,5&hl=en",8,"2024-04-16 13:58:37","PDF","","","",,,,,2,2.00,1,4,1,"… In recent years, computer vision has drawn significant attention to counting and tracking … the visible people present in a highly-dense crowd in a single image using SWIFT and Markov …","https://research-management.mq.edu.au/ws/portalfiles/portal/250006007/236562254.pdf","https://scholar.google.com/scholar?q=related:r-RGItqYggUJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
1,"Y Zhang, H Chen, Z Lai, Z Zhang, D Yuan","Handling Heavy Occlusion in Dense Crowd Tracking by Focusing on the Heads",2023,"Australasian Joint Conference …","Springer","https://link.springer.com/chapter/10.1007/978-981-99-8388-9_7","https://scholar.google.com/scholar?cites=14441652571735580477&as_sdt=2005&sciodt=0,5&hl=en",9,"2024-04-16 13:58:37","","10.1007/978-981-99-8388-9_7","","",,,,,1,1.00,0,5,1,"… deep learning, object detection and tracking play a vital role in today’s society. Being able to identify and track all the pedestrians in the dense crowd … the Multiple Object Tracking (MOT) …","https://arxiv.org/pdf/2304.07705","https://scholar.google.com/scholar?q=related:Pd_ns38Oa8gJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
18,"W Lin, AB Chan","Optimal transport minimization: Crowd localization on density maps for semi-supervised counting",2023,"Proceedings of the IEEE/CVF Conference …","openaccess.thecvf.com","http://openaccess.thecvf.com/content/CVPR2023/html/Lin_Optimal_Transport_Minimization_Crowd_Localization_on_Density_Maps_for_Semi-Supervised_CVPR_2023_paper.html","https://scholar.google.com/scholar?cites=13466669577981996550&as_sdt=2005&sciodt=0,5&hl=en",10,"2024-04-16 13:58:37","","","","",,,,,18,18.00,9,2,1,"… Due to the development of deep learning, recent methods [5,58,59,62,67] have achieved … during tracking in crowd scene. Semi-supervised Counting. As labeling very dense crowd …","https://openaccess.thecvf.com/content/CVPR2023/papers/Lin_Optimal_Transport_Minimization_Crowd_Localization_on_Density_Maps_for_Semi-Supervised_CVPR_2023_paper.pdf","https://scholar.google.com/scholar?q=related:Bi4tt6E447oJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
