Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
49,"A.J. Sathyamoorthy","DenseCAvoid: Real-time Navigation in Dense Crowds using Anticipatory Behaviors",2020,"Proceedings - IEEE International Conference on Robotics and Automation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088196072&origin=inward",1,"2024-04-16 10:16:41","Conference Paper","10.1109/ICRA40945.2020.9197379","1050-4729","https://api.elsevier.com/content/abstract/scopus_id/85088196072",,,11345,11352,49,12.25,49,1,4,"","",""
26,"Y. Hsu","Passenger flow counting in buses based on deep learning using surveillance video",2020,"Optik","","https://api.elsevier.com/content/article/eid/1-s2.0-S0030402619315736","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075808363&origin=inward",2,"2024-04-16 10:16:41","Article","10.1016/j.ijleo.2019.163675","0030-4026","https://api.elsevier.com/content/abstract/scopus_id/85075808363",202,,,,26,6.50,26,1,4,"","",""
13,"X. Li","Simulation of evacuating crowd based on deep learning and social force model",2019,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077953550&origin=inward",3,"2024-04-16 10:16:41","Article","10.1109/ACCESS.2019.2949106","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85077953550",7,,155361,155371,13,2.60,13,1,5,"","",""
12,"X. Chen","Research on Pedestrian Detection and DeepSort Tracking in Front of Intelligent Vehicle Based on Deep Learning",2022,"Sustainability (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85137325411&origin=inward",4,"2024-04-16 10:16:41","Article","10.3390/su14159281","2071-1050","https://api.elsevier.com/content/abstract/scopus_id/85137325411",14,15,,,12,6.00,12,1,2,"","",""
11,"Y. Ge","Pedestrian tracking algorithm for dense crowd based on deep learning",2019,"2019 6th International Conference on Systems and Informatics, ICSAI 2019","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081980816&origin=inward",5,"2024-04-16 10:16:41","Conference Paper","10.1109/ICSAI48974.2019.9010144","","https://api.elsevier.com/content/abstract/scopus_id/85081980816",,,568,572,11,2.20,11,1,5,"","",""
5,"S. Sivachandiran","Deep Learning driven automated person detection and tracking model on surveillance videos",2022,"Measurement: Sensors","","https://api.elsevier.com/content/article/eid/1-s2.0-S2665917422000563","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85137699030&origin=inward",6,"2024-04-16 10:16:41","Article","10.1016/j.measen.2022.100422","2665-9174","https://api.elsevier.com/content/abstract/scopus_id/85137699030",24,,,,5,2.50,5,1,2,"","",""
4,"G. Monaci","DiPCAN: Distilling Privileged Information for Crowd-Aware Navigation",2022,"Robotics: Science and Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85137702169&origin=inward",7,"2024-04-16 10:16:41","Conference Paper","10.15607/RSS.2022.XVIII.045","2330-765X","https://api.elsevier.com/content/abstract/scopus_id/85137702169",,,,,4,2.00,4,1,2,"","",""
2,"M. Nishimura","ViewBirdiformer: Learning to Recover Ground-Plane Crowd Trajectories and Ego-Motion From a Single Ego-Centric View",2023,"IEEE Robotics and Automation Letters","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85141548244&origin=inward",8,"2024-04-16 10:16:41","Article","10.1109/LRA.2022.3221335","2377-3766","https://api.elsevier.com/content/abstract/scopus_id/85141548244",8,1,368,375,2,2.00,2,1,1,"","",""
1,"Z. Qi","Multiple Pedestrian Tracking in Dense Crowds Combined with Head Tracking",2023,"Applied Sciences (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85145743679&origin=inward",9,"2024-04-16 10:16:41","Article","10.3390/app13010440","2076-3417","https://api.elsevier.com/content/abstract/scopus_id/85145743679",13,1,,,1,1.00,1,1,1,"","",""
1,"D. Meng","Application of Railway Passenger Flow Statistics Based on Mask R-CNN",2020,"IOP Conference Series: Materials Science and Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083008456&origin=inward",10,"2024-04-16 10:16:41","Conference Paper","10.1088/1757-899X/768/7/072050","1757-8981","https://api.elsevier.com/content/abstract/scopus_id/85083008456",768,7,,,1,0.25,1,1,4,"","",""
