Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Areej Alhothali, Amal Balabid, Reem Alharthi, Bander Alzahrani, Reem Alotaibi, Ahmed Barnawi","Anomalous event detection and localization in dense crowd scenes",2023,"Multimedia Tools and Applications","","https://link.springer.com/10.1007/s11042-022-13967-w","",1,"2024-04-16 13:37:00","JOUR","10.1007/s11042-022-13967-w","1380-7501, 1573-7721","",82,10,15673,15694,0,0.00,0,6,1,"","",""
0,"Ye Liu, Shuohong Wang, Jianhui Nie, Hao Gao","Localizing and tracking dense crowd of microbes by joint association and detection refinement",2022,"The Visual Computer","","https://link.springer.com/10.1007/s00371-021-02118-1","",2,"2024-04-16 13:37:00","JOUR","10.1007/s00371-021-02118-1","0178-2789, 1432-2315","",38,7,2373,2382,0,0.00,0,4,2,"","",""
0,"Bhawana Tyagi, Swati Nigam, Rajiv Singh","A Review of Deep Learning Techniques for Crowd Behavior Analysis",2022,"Archives of Computational Methods in Engineering","","https://link.springer.com/10.1007/s11831-022-09772-1","",3,"2024-04-16 13:37:00","JOUR","10.1007/s11831-022-09772-1","1134-3060, 1886-1784","",29,7,5427,5455,0,0.00,0,3,2,"","",""
0,"Ge Yang, Dian Zhu","Survey on algorithms of people counting in dense crowd and crowd density estimation",2023,"Multimedia Tools and Applications","","https://link.springer.com/10.1007/s11042-022-13957-y","",4,"2024-04-16 13:37:00","JOUR","10.1007/s11042-022-13957-y","1380-7501, 1573-7721","",82,9,13637,13648,0,0.00,0,2,1,"","",""
0,"Soma Hazra, Shaurjya Mandal, Banani Saha, Sunirmal Khatua","UMTSS: a unifocal motion tracking surveillance system for multi-object tracking in videos",2023,"Multimedia Tools and Applications","","https://link.springer.com/10.1007/s11042-022-13780-5","",5,"2024-04-16 13:37:00","JOUR","10.1007/s11042-022-13780-5","1380-7501, 1573-7721","",82,8,12401,12422,0,0.00,0,4,1,"","",""
0,"Md Roman Bhuiyan, Junaidi Abdullah, Noramiza Hashim, Fahmid Al Farid","Video analytics using deep learning for crowd analysis: a review",2022,"Multimedia Tools and Applications","","https://link.springer.com/10.1007/s11042-022-12833-z","",6,"2024-04-16 13:37:00","JOUR","10.1007/s11042-022-12833-z","1380-7501, 1573-7721","",81,19,27895,27922,0,0.00,0,4,2,"Abstract","",""
0,"Bin Wu, Sean He","Self-learning and explainable deep learning network toward the security of artificial intelligence of things",2023,"The Journal of Supercomputing","","https://link.springer.com/10.1007/s11227-022-04818-4","",7,"2024-04-16 13:37:00","JOUR","10.1007/s11227-022-04818-4","0920-8542, 1573-0484","",79,4,4436,4467,0,0.00,0,2,1,"","",""
0,"Faisal Abdullah, Ahmad Jalal","Semantic Segmentation Based Crowd Tracking and Anomaly Detection via Neuro-fuzzy Classifier in Smart Surveillance System",2023,"Arabian Journal for Science and Engineering","","https://link.springer.com/10.1007/s13369-022-07092-x","",8,"2024-04-16 13:37:00","JOUR","10.1007/s13369-022-07092-x","2193-567X, 2191-4281","",48,2,2173,2190,0,0.00,0,2,1,"","",""
0,"T. Edwin Chow, Paul S. F. Yip, Kwan-Po Wong","An integrated framework of mobile crowd estimation for the 2019, July 1st rally in Hong Kong",2023,"Multimedia Tools and Applications","","https://link.springer.com/10.1007/s11042-023-15417-7","",9,"2024-04-16 13:37:00","JOUR","10.1007/s11042-023-15417-7","1380-7501, 1573-7721","",82,28,43349,43366,0,0.00,0,3,1,"","",""
0,"Nour Eldeen Khalifa, Mohamed Loey, Seyedali Mirjalili","A comprehensive survey of recent trends in deep learning for digital images augmentation",2022,"Artificial Intelligence Review","","https://link.springer.com/10.1007/s10462-021-10066-4","",10,"2024-04-16 13:37:00","JOUR","10.1007/s10462-021-10066-4","0269-2821, 1573-7462","",55,3,2351,2377,0,0.00,0,3,2,"","",""
0,"P. Karpagavalli, A. V. Ramprasad","Automatic multiple human tracking using an adaptive hybrid GMM based detection in a crowd",2020,"Multimedia Tools and Applications","","https://link.springer.com/10.1007/s11042-019-08181-0","",11,"2024-04-16 13:37:00","JOUR","10.1007/s11042-019-08181-0","1380-7501, 1573-7721","",79,39,28993,29019,0,0.00,0,2,4,"","",""
0,"J. Usha Rani, P. Raviraj","Real-Time Human Detection for Intelligent Video Surveillance: An Empirical Research and In-depth Review of its Applications",2023,"SN Computer Science","","https://link.springer.com/10.1007/s42979-022-01654-4","",12,"2024-04-16 13:37:00","JOUR","10.1007/s42979-022-01654-4","2661-8907","",4,3,258,,0,0.00,0,2,1,"","",""
