Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Lijia Deng, Qinghua Zhou, Shuihua Wang, Juan Manuel GÃ³rriz, Yudong Zhang","Deep learning in crowd counting: A survey",,"CAAI Transactions on Intelligence Technology","","http://dx.doi.org/10.1049/cit2.12241","",1,"2024-04-16 10:53:21","JOUR","10.1049/cit2.12241","","",,,,,0,0.00,0,5,,"Abstract Counting high-density objects quickly and accurately is a popular","",""
0,"Tao Lei, Dong Zhang, Risheng Wang, Shuying Li, Weijiang Zhang, Asoke K Nandi","MFP-Net: Multi-scale feature pyramid network for crowd counting",2021,"IET Image Processing","","http://dx.doi.org/10.1049/ipr2.12230","",2,"2024-04-16 10:53:21","JOUR","10.1049/ipr2.12230","","",15,14,3522,,0,0.00,0,6,3,"Abstract Although deep learning has been widely used for dense crowd","",""
0,"Yaqiang Li, Tianlu Mao, Ruoyu Meng, Qinyuan Yan, Zhaoqi Wang","DeepORCA: Realistic crowd simulation for varying scenes",2022,"Computer Animation and Virtual Worlds","","http://dx.doi.org/10.1002/cav.2067","",3,"2024-04-16 10:53:21","JOUR","10.1002/cav.2067","","",33,3,,,0,0.00,0,5,2,"Abstract Crowd simulation is a challenging problem, aiming to generate","",""
0,"Muhammad Asif Khan, Hamid Menouar, Ridha Hamila","Visual crowd analysis: Open research problems",2023,"AI Magazine","","http://dx.doi.org/10.1002/aaai.12117","",4,"2024-04-16 10:53:21","JOUR","10.1002/aaai.12117","","",44,3,296,,0,0.00,0,3,1,"Abstract Over the last decade, there has been a remarkable surge in","",""
0,"Baobing Zhang, Siguang Li, Zhengwen Huang, Babak H Rahi, Qicong Wang, Maozhen Li","Transfer learning-based online multiperson tracking with Gaussian process",2018,"Concurrency and Computation: Practice and Experience","","http://dx.doi.org/10.1002/cpe.4917","",5,"2024-04-16 10:53:21","JOUR","10.1002/cpe.4917","","",30,23,,,0,0.00,0,6,6,"Summary Most existing tracking-by-detection approaches are affected by","",""
0,"Ayesha Choudhary, Santanu Chaudhury","Video analytics revisited",2016,"IET Computer Vision","","http://dx.doi.org/10.1049/iet-cvi.2015.0321","",6,"2024-04-16 10:53:21","JOUR","10.1049/iet-cvi.2015.0321","","",10,4,237,,0,0.00,0,2,8,"Video, rich in visual real-time content, is however, difficult to","",""
0,"Jing Han, Xiaoying Wang, Xichang Wang, Xueqiang Lv","CFNet: Head detection network based on multi-layer feature fusion and",2023,"IET Image Processing","","http://dx.doi.org/10.1049/ipr2.12770","",7,"2024-04-16 10:53:21","JOUR","10.1049/ipr2.12770","","",17,7,2032,,0,0.00,0,4,1,"Abstract Recently, head detection has been widely used in target","",""
0,"Rakesh Kalshetty, Asma Parveen","Abnormal event detection model using an improved ResNet101 in context",2023,"Cognitive Computation and Systems","","http://dx.doi.org/10.1049/ccs2.12084","",8,"2024-04-16 10:53:21","JOUR","10.1049/ccs2.12084","","",5,2,153,,0,0.00,0,2,1,"Abstract Surveillance system plays a significant role for achieving","",""
0,"Jie Shen, Xin Xiong, Zhiyuan Xue, Yinglong Bian","A convolutional neural-network-based pedestrian counting model for various",2019,"Computer-Aided Civil and Infrastructure Engineering","","http://dx.doi.org/10.1111/mice.12454","",9,"2024-04-16 10:53:21","JOUR","10.1111/mice.12454","","",34,10,897,,0,0.00,0,4,5,"Abstract Pedestrian counting from unconstrained images is an important","",""
0,"Danpei Zhao, Bo Yuan, Zhenwei Shi, Zhiguo Jiang","Selective focus saliency model driven by object class-awareness",2021,"IET Image Processing","","http://dx.doi.org/10.1049/ipr2.12108","",10,"2024-04-16 10:53:21","JOUR","10.1049/ipr2.12108","","",15,6,1332,,0,0.00,0,4,3,"Abstract Current many salient object detection (SOD) models only focus on","",""
0,"W van Toll, J PettrÃ©","Algorithms for Microscopic Crowd Simulation: Advancements in the 2010s",2021,"Computer Graphics Forum","","http://dx.doi.org/10.1111/cgf.142664","",11,"2024-04-16 10:53:21","JOUR","10.1111/cgf.142664","","",40,2,731,,0,0.00,0,2,3,"Abstract The real-time simulation of human crowds has many applications.","",""
