"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Pedestrian Tracking Algorithm for Dense Crowd based on Deep Learning","G. Yang; Z. Chen","Engineering Lab on Intelligent Perception for Internet of Things(ELIP), Shenzhen Graduate School, Peking University, Shenzhen, China; Key Laboratory of Intelligent Multimedia Technology, Beijing Normal University (Zhuhai Campus), Zhuhai, China","2019 6th International Conference on Systems and Informatics (ICSAI)","27 Feb 2020","2019","","","568","572","The development of Dense Crowd Visual Tracking algorithm based on Deep Learning (DTDL) is introduced. The main research contents of this paper are as follows: (l) Dense crowd Based on Single Shot Multi-Box Detector (D-SSD). The D-SSD detection algorithm was proposed to reconstruct the pedestrian data set, mark the head and shoulder of pedestrians in the crowd, and modify the size of the candidate box close to the proportion of head and shoulder of pedestrians, so as to obtain a new data set for training. (2) visual tracking framework (Kalman Based on Kernel Correlation Filters, K-KCF): KCF tracking framework is more popular in recent years, KCF used in visual tracking under the common scene both in tracking performance and tracking speed performance is good, but there are severe target block KCF will tracking failure, in the dense population under the background of such inevitable condition. The addition of Kalman filter can largely solve the tracking failure caused by the occlusion of pedestrians. In this paper, Kalman filter is proposed as an auxiliary K-KCF visual tracking framework.","","978-1-7281-5256-1","10.1109/ICSAI48974.2019.9010144","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010144","c Pedestian detection;Pedestrian tracking;Deep learning;Kalman filter;Dense crowds;KCF","Target tracking;Kalman filters;Visualization;Detection algorithms;Training;Machine learning","","6","","11","IEEE","27 Feb 2020","","","IEEE","IEEE Conferences"
"Tracking Hundreds of People in Densely Crowded Scenes With Particle Filtering Supervising Deep Convolutional Neural Networks","G. Franchi; E. Aldea; S. Dubuisson; I. Bloch","Université Paris-Saclay SATIE; Université Paris-Saclay SATIE; CNRS, LIS, Aix Marseille University; LTCI, Télécom Paris, Institut Polytechnique de Paris","2020 IEEE International Conference on Image Processing (ICIP)","30 Sep 2020","2020","","","2071","2075","Tracking an entire high-density crowd composed of more than five hundred individuals is a difficult task that has not yet been accomplished. In this article, we propose to track pedestrians using a model composed of a Particle Filter (PF) and three Deep Convolutional Neural Networks (DCNN). The first network is a detector that learns to localize the persons. The second one is a pretrained network that estimates the optical flow, and the last one corrects the flow. Our contribution resides in the way we train this last network by PF supervision, and in Markov Random Field linking the different tracks.","2381-8549","978-1-7281-6395-6","10.1109/ICIP40778.2020.9190953","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9190953","Computer Vision;Crowd tracking;Self supervised learning;Deep learning","Training;Adaptive optics;Target tracking;Two dimensional displays;Optical imaging;Task analysis","","","","16","IEEE","30 Sep 2020","","","IEEE","IEEE Conferences"
"Deep Crowd Analysis to Spot Social Distancing Violations in Post-COVID 19 Lifestyle","S. S. Narayanan; A. Nesarani; R. S. Raghav; A. Robert Singh; S. Athisayamani","Department of CSE, VelTech Rangarajan Dr.Sahunthala R&D Institute of Science and Technology, Avadi, Chennai, Tamil Nadu, India; Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vadeeswaram, Guntur, Andra Pradesh, India; School of Computing Sastra Deemed to be University, Thanjavur, Tamil Nadu, India; Department of Computational Intelligence School of Computing, SRM Institute of Science and Technology, Chennai, Tamil Nadu, India; School of Computing Sastra Deemed to be University, Thanjavur, Tamil Nadu, India","2022 IEEE 7th International Conference on Recent Advances and Innovations in Engineering (ICRAIE)","2 Mar 2023","2022","7","","31","36","Crowd analysis is a new field of study that involves processing a large group of people to examine one or more of their behaviors. Deep learning is an appropriate technique for crowd analysis using a convolutional neural network. To calculate the distance between crowd members and to identify social distance violations, a deep crowd analysis is proposed in this study. Pre-trained in a single class To discover the region of interest, CNN is utilised to classify people (RoI). The people in the picture are then localized using a density map. The reference point used to calculate the distance between the people is the centroid of the isolated areas in the density map. A social distance violation is reported if the estimated distance is less than the specified threshold distance (3 meters). Between the two ROIs, a distance measured in pixels is determined.","","978-1-6654-8910-2","10.1109/ICRAIE56454.2022.10054338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10054338","Crowd analysis;CNN;Social distance;density map","Deep learning;Meters;Technological innovation;Surveillance;Human factors;Social factors;Behavioral sciences","","","","13","IEEE","2 Mar 2023","","","IEEE","IEEE Conferences"
"Deep Learning Based Crowd Monitoring And Person Identification System","M. F. Haque; T. Al Muhaimin Choudhury; D. Sarkar; S. H. Rafi; M. Shajidur Rahim; A. Chakrabarty; M. Fahim-Ul-Islam","Department of Computer Science and Engineering, Brac University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Brac University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Brac University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Brac University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Brac University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Brac University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Brac University, Dhaka, Bangladesh","2023 26th International Conference on Computer and Information Technology (ICCIT)","27 Feb 2024","2023","","","1","6","With the recent outbreak of COVID-19 and other pandemics that might occur in the future, we have realized how crucial it is to monitor crowd behavior and social distancing in public places. This paper introduces a deep learning-based system for crowd monitoring and person identification, addressing the challenges posed by similar kinds of pandemics. The approach proposes a combination of person tracking and distance measurement systems which can be implemented in various public places. In this paper, we come up with two approaches, the first one is based on utilizing Faster R-CNN for person identification along with The Simple Online and Real-time Tracking (SORT) algorithm and the other approach is YOLOv8 for person detection, coupled with the DeepSort-based tracking algorithm which also includes a logging system. Moreover, to implement the system, a custom dataset is created for evaluation and to tackle perspective correction and person-only detection issues. After using our custom dataset for evaluation and also evaluating the performance and robustness, we propose our DeepSort-based second approach as the better system. Moreover, our proposed system achieved over 90% accuracy in human detection and distance estimation.","","979-8-3503-5901-5","10.1109/ICCIT60459.2023.10441350","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441350","COVID-19;Faster R-CNN;YOLOv8;Deep sort;IoT;micro-controller","Deep learning;COVID-19;YOLO;Pandemics;Robustness;Real-time systems;Identification of persons","","","","11","IEEE","27 Feb 2024","","","IEEE","IEEE Conferences"
"Context Aware Crowd Tracking and Anomaly Detection via Deep Learning and Social Force Model","F. Abdullah; M. Abdelhaq; R. Alsaqour; M. H. Alatiyyah; K. Alnowaiser; S. S. Alotaibi; J. Park","Department of Computer Science, Air University, Islamabad, Pakistan; Department of Information Technology, College of Computer and Information Sciences, Princess Nourah Bint Abdulrahman University, Riyadh, Saudi Arabia; Department of Information Technology, College of Computing and Informatics, Saudi Electronic University, Riyadh, Saudi Arabia; Department of Computer and Information, Prince Sultan University, Riyadh, Saudi Arabia; Department of Computer Engineering, College of Computer Engineering and Sciences, Prince Sattam Bin Abdulaziz University, Al-Kharj, Saudi Arabia; Information Systems Department, Umm Al-Qura University, Makkah, Saudi Arabia; Department of Computer Engineering, Tech University of Korea, Siheung-si, South Korea","IEEE Access","9 Aug 2023","2023","11","","75884","75898","The world’s expanding populace, the variety of human social factors, and the densely populated environment make humans feel uncertain. Individuals need a safety officer who generally deals with security viewpoints for this frailty. Currently, human monitoring techniques are time-consuming, work concentrated, and incapable. Therefore, autonomous surveillance frameworks are necessary for the modern day since they are able to address these problems. Nevertheless, hardships persist. The central concerns incorporate the detachment of the foreground from the scene and the understanding of the contextual structure of the environment for efficiently identifying unusual objects. In our work, we introduced a novel framework to tackle these difficulties by presenting a semantic segmentation technique for separating a foreground object. In our work, Super-pixels are generated using an improved watershed transform and then a conditional random field is implemented to obtain multi-object segmented frames by performing pixel-level labeling. Next, the Social Force model is introduced to extract the contextual structure of the environment via the fusion of a novel chosen particular histogram of an optical stream and inner force model. After using the computed social force, multi-people tracking is performed via three-dimensional template association using percentile rank and non-maximal suppression. Next, multi-object categorization is performed via deep learning Feature Pyramid Network. Finally, by considering the contextual structure of the environment, Jaccard similarity is utilized to make the decision for abnormality detection and identify the unusual objects from the scene. The invented framework is verified through rigorous investigations, and it obtained multi-people tracking efficiency of 92.2% and 89.1% over the UCSD and CUHK Avenue datasets. However, 95.2% and 93.7% abnormality detection efficiency is accomplished over UCSD and CUHK Avenue datasets, respectively.","2169-3536","","10.1109/ACCESS.2023.3293537","Basic Science Research Program through the National Research Foundation (NRF)(grant numbers:2021R1F1A1063634); Ministry of Science and Information & Communications Technology (MSIT), Republic of Korea; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10177157","Conditional random field;feature pyramid network;improved watershed transform;Jaccard similarity;multi-object association;social force model","Feature extraction;Force;Tracking;Conditional random fields;Computational modeling;Anomaly detection;Behavioral sciences","","3","","82","CCBYNCND","10 Jul 2023","","","IEEE","IEEE Journals"
"Deep Learning for Crowd Image Classification for Images Captured Under Varying Climatic and Lighting Condition","H. T. Ingale; S. S. Suralkar; A. J. Patil","S.S.B.T.C.O.E&T, Jalgaon, India; S.S.B.T.C.O.E&T, Jalgaon, India; SGOI COE&FOM, Pune, India","2022 IEEE Bombay Section Signature Conference (IBSSC)","14 Feb 2023","2022","","","1","6","Most of recent events have attracted a lot of attention towards importance of automatic crowd classification and management. COVID-19 is the most setback for the entire world. During these events proper breakout and public crowd management leads to the requirement of managing, counting, securing as well as tracking the crowd. But automatic analysis of the crowd is very challenging task because of varying climatic and lighting conditions, varying postures etc. During this paper we have developed PYTHON based system for automatic crowd images classification using Deep learning. This paper is the first attempt for automatic classification of crowd images. We have prepared the dataset of crowd classification consisting of three categories. The proposed methodology of crowd classification starts with preprocessing during which we have used median filtering for noise removal. Deep learning models are developed using 70% training images. The performance of the system is evaluated for various deep learning algorithms including one block VGG, two block VGG and three block VGG. We have also evaluated the performance of three block VGG using dropout. VGG16 transfer learning based crowd classification is developed using PYTHON. Using VGG16 transfer learning we achieved the accuracy of 69.44.% which is highest among all deep learning classification models during this study","","978-1-6654-9291-1","10.1109/IBSSC56953.2022.10037341","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10037341","deep learning;one block VGG;two block VGG;three blocks VGG;transfer learning","Deep learning;Training;COVID-19;Filtering;IEEE Sections;Transfer learning;Lighting","","1","","18","IEEE","14 Feb 2023","","","IEEE","IEEE Conferences"
"Research of Pedestrian Object Tracking Algorithms","H. Zuo; Y. Yang; L. Cao","New Energy Vehicle College, Xi'an Vocational University of Automobile, Xi'an, China; New Energy Vehicle College, Xi'an Vocational University of Automobile, Xi'an, China; New Energy Vehicle College, Xi'an Vocational University of Automobile, Xi'an, China","2022 Global Conference on Robotics, Artificial Intelligence and Information Technology (GCRAIT)","4 Oct 2022","2022","","","155","159","High-quality pedestrian tracking algorithms are the basis for solving many problems including video surveillance, action recognition, and crowd behaviour analysis. The problem of pedestrian target detection and tracking is to identify and track the trajectories of different targets in video sequences. It can be divided into single target and tracking, multi-target and tracking, pedestrian re-identification, and so on. In recent years, with improvement of benchmarking, pedestrian object tracking methods have also developed from traditional feature learning to neural network modelling. This paper mainly summarizes and analyses the latest proposed deep learning algorithm models for pedestrian detection and tracking and the corresponding improvement for existing problems. In addition, possible future research directions are also discussed at the end.","","978-1-6654-8192-2","10.1109/GCRAIT55928.2022.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9898311","computer vision;deep learning;pedestrian object tracking;neural network","Target tracking;Video sequences;Semantics;Object detection;Feature extraction;Video surveillance;Transformers","","","","29","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
"Simulation of Evacuating Crowd Based on Deep Learning and Social Force Model","X. Li; Y. Liang; M. Zhao; C. Wang; H. Bai; Y. Jiang","College of Computer Science and Technology, Jilin University, Changchun, China; College of Computer Science and Technology, Jilin University, Changchun, China; College of Computer Science and Technology, Jilin University, Changchun, China; College of Computer Science and Technology, Jilin University, Changchun, China; College of Computer Science and Technology, Jilin University, Changchun, China; College of Computer Science and Technology, Jilin University, Changchun, China","IEEE Access","31 Oct 2019","2019","7","","155361","155371","It is always difficult to evacuate crowds in public places like subway stations. The traditional crowd behavior simulation models often ignore two important issues in crowd evacuation: pedestrian tracking and individual differences. To solve the problem, this paper combines social force model (SFM) with deep learning into a novel pedestrian detection method. Firstly, several deep learning algorithms for pedestrian detection were compared, and the best ones for sparse and dense crowds were determined. Next, the pedestrian positions in a real video were acquired by the selected algorithms, and converted into actual coordinates in the scene. Then, the evacuation process was simulated with our method and the SFM based on these coordinates. The results show that our model output closer-to-reality results than the SFM. The research findings shed important new light on evacuation in crowded areas.","2169-3536","","10.1109/ACCESS.2019.2949106","National Natural Science Foundation of China(grant numbers:51679105,61872160,51809112,51939003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8880672","Deep learning;social force model (SFM);crowd simulation","Deep learning;Feature extraction;Force;Proposals;Neurons;Trajectory;Acceleration","","12","","40","CCBY","23 Oct 2019","","","IEEE","IEEE Journals"
"Behavioural Analysis For Prospects In Crowd Emotion Sensing: A Survey","M. K; L. Sujihelen","Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai; Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai","2021 Third International Conference on Inventive Research in Computing Applications (ICIRCA)","1 Oct 2021","2021","","","735","743","Crowd behavioural analysis is an interesting and emerging domain in research, with incomplete set of activities, tasks and lack of intermediate cub-processes which are mandated for productive analysis. Since the domain is untapped to a major extent, the research carried out in the domain needs proper stages of operations. A proper taxonomy will direct the futuristic domains in the right track of processes and organization of intermediate tasks. This review paper intends to document the list of stages and processes, data collection, pipelining the sub-tasks, pre-emptive identification of supposed problems during the later stages in detection of crowd emotions and behavioural analysis. Deep learning techniques have been widely deployed to investigate the models of crowd analysis, anomaly detection, and look for meaningful insights and patterns from datasets. The Different models are investigated thoroughly for their respective understanding about the emotional aspects considered in the studies. Emotional characteristics when powered with crowd behavioural analysis and real world entities will deliver a promising solution for crime detections, anomaly detection and ensure a safer environment for nations. Video surveillance tools, datasets from crime datasets and various other factors contributed to the previous research works, models are now being designed to incorporate the best features of these models into one and thus achieve one fruitful model for continuous video analytics.","","978-1-6654-3877-3","10.1109/ICIRCA51532.2021.9544607","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9544607","Crowd Anomaly Detection;Behavioural Analysis;Emotion Sensing;Deep Learning;Machine Learning;Crime Detection","Deep learning;Training;Analytical models;Visual analytics;Taxonomy;Tools;Video surveillance","","2","","72","IEEE","1 Oct 2021","","","IEEE","IEEE Conferences"
"People Counting in Public Spaces using Deep Learning-based Object Detection and Tracking Techniques","N. Krishnachaithanya; G. Singh; S. Sharma; R. Dinesh; S. R. Sihag; K. Solanki; A. Agarwal; M. Rana; U. Makkar","School of Computer Science and Engineering, Lovely Professional University, Kapurthala, Punjab, India; School of Computer Science and Engineering, Lovely Professional University, Kapurthala, Punjab, India; Department of Computer Science and Engineering, Amity School of Engineering and Technology, Amity University, Greater Noida, Uttar Pradesh, India; School of Computer Science and Engineering, Lovely Professional University, Kapurthala, Punjab, India; School of Computer Science and Engineering, Lovely Professional University, Kapurthala, Punjab, India; Department of Computer Science and Engineering, University Institute of Engineering and Technology, Maharshi Dayanand University Rohtak, Rohtak, Haryana; School of Computer Science and Engineering, Lovely Professional University, Kapurthala, Punjab, India; School of Computer Science and Engineering, Lovely Professional University, Kapurthala, Punjab, India; Department of Mechanical Engineering, Lovely Professional University, Kapurthala, Punjab, India","2023 International Conference on Computational Intelligence and Sustainable Engineering Solutions (CISES)","21 Jul 2023","2023","","","784","788","Recent advancements in deep learning and machine learning have enabled exact people counting in various applications including crowd management, security, and retail analytics. Deep learning algorithms have proven tremendous promise for accurate and efficient people counting in difficult contexts. This paper offers a technique for counting people that utilises deep learning with MobileNet SSD, centroid tracking, and trackable object script. Gathering and preparing a labelled dataset, training a MobileNet SSD model, implementing centroid tracking and the trackable object script, increasing system performance, testing it on real-world scenarios, and deploying it in a production environment are all part of the approach. The recommended approach provides a wide framework for creating and deploying a deep learning-based people-counting system that can be customized and tuned to match a number of applications and purposes. Additionally, we have added alerts on maximum capacity, timely scheduling and input feed from the internet.","","979-8-3503-2391-7","10.1109/CISES58720.2023.10183503","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10183503","People Counting;Object detection;Deep learning;Tracking;Real-Time","Deep learning;Training;Resistance;Heuristic algorithms;Computational modeling;System performance;Real-time systems","","21","","20","IEEE","21 Jul 2023","","","IEEE","IEEE Conferences"
